giniIndex,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,ueRate,uninsuredRate,medianAge
0.38170001,95.099998,35.799999,77697,3.5904775,3.0999999,38.900002
0.57370001,61.200001,13,20596,11.938917,5.1999998,33.799999
0.44069999,64.900002,8.6000004,38199,11.365293,8.1999998,31.299999
0.42559999,74,15.9,46629,9.6454945,5.5999999,31.1
0.4138,88.199997,29.200001,73525,6.5196481,3.0999999,39.099998
0.45339999,97.099998,61.900002,105661,4.1823707,2.0999999,39.900002
0.4513,83.699997,14.8,46102,8.2534742,4.1999998,29.4
0.45559999,78,24.200001,52008,8.9362488,5.1999998,34.299999
0.47729999,80.199997,26.700001,50911,8.4423628,5.5,36.900002
0.4955,79.400002,19.4,40982,7.9832783,5.8000002,30
0.40759999,95.199997,48,84417,7.2316103,1.4,46.900002
0.3556,90,31.700001,93494,5.7397327,1.6,40.599998
0.4463,93.400002,46.299999,77055,4.9013624,1.3,44.200001
0.4041,97.5,52.299999,124750,3.4336679,0.40000001,44.299999
0.4188,97,61.200001,113553,3.6621931,1.2,42.5
0.39579999,94.099998,33.900002,94817,4.6404896,1.5,44.400002
0.3888,95.5,45.5,101620,4.4778051,1,40.799999
0.40079999,93.5,50.900002,93337,4.5552731,2,43.799999
0.3603,97.5,69.099998,138006,3.2367709,1.2,43.400002
0.3996,95.400002,40.799999,118549,4.9099483,0.69999999,42.299999
0.47530001,97.800003,75.5,152196,2.8653796,1,43.299999
0.49520001,72.5,17.6,22057,7.0263486,4.1999998,39.700001
0.48859999,75.800003,17.4,42851,7.0495977,6.5999999,33
0.35089999,91.300003,28.9,88395,5.0482411,3,38.299999
0.44850001,77,17,57638,5.9982162,5.3000002,33.599998
0.40020001,90.599998,26.5,82188,7.4210138,2.9000001,45.700001
0.46779999,95.300003,54.299999,105029,4.5043864,1.3,44.599998
0.48660001,97.5,52.900002,81384,2.4414063,1.3,51.799999
0.37670001,94.199997,41.799999,78638,4.8141556,3.7,43.5
0.4993,94.300003,48.200001,77893,5.2933969,2.3,40.900002
0.40970001,97.599998,60.5,155034,6.5002251,1.8,45.900002
0.4393,97.699997,61.400002,87986,1.5882713,0.69999999,48.400002
0.4296,94.300003,41.400002,79795,4.3704891,2.5999999,45
0.45879999,98.199997,58.400002,109327,4.0361128,2.5999999,46.299999
0.47670001,90.900002,38.599998,65348,6.1253386,3,49
,74.300003,10.3,,50,0,46.099998
0.47209999,96.800003,51.200001,80829,4.944984,1.9,48.799999
0.4355,96,52.799999,113509,7.5119944,0.5,45.400002
0.4946,97.400002,61.200001,105500,4.7737799,2,51.099998
0.49439999,97.599998,70.300003,110025,4.5633206,1.3,47.799999
0.45429999,92.400002,40.099998,107727,5.356751,2.5,43.900002
0.4614,96.900002,61,89887,6.1469712,1.2,49
0.40239999,95.599998,53.900002,90662,3.5135136,0.40000001,49.900002
0.3994,93,29.9,72900,6.5302749,4.6999998,45.5
0.43790001,89.800003,30.700001,65060,5.2183757,2.5999999,44.400002
0.46450001,97.599998,51.700001,72015,5.4960155,1.8,53.400002
0.46399999,97.699997,43.599998,89338,5.2750354,2.4000001,44.299999
0.4594,91,41.200001,65476,5.611938,3,36.099998
0.44870001,98.400002,68.900002,112250,3.8175762,1.7,40.5
0.3881,97.300003,58.599998,131387,3.4336069,0.89999998,46.299999
0.52060002,99,64.199997,96979,2.6066351,3.7,24.700001
0.41249999,97.599998,53.400002,135882,3.5845213,0.69999999,46.200001
0.4359,94,30.6,95533,5.5027561,3,40.599998
0.4461,97,56.400002,96583,6.1313753,0.69999999,41.099998
0.51020002,98.300003,73.300003,140000,5.9628544,1.9,44.599998
0.45809999,93.599998,48.799999,89451,4.9616952,2.3,43.299999
0.47600001,98.300003,82.699997,204018,2.8232834,1.4,44.700001
0.39820001,95.800003,57.299999,120250,7.1611252,0.69999999,42.900002
0.4057,94.599998,48.799999,98199,6.0150375,2,42.299999
0.42340001,96.099998,56,111935,5.4317474,1.6,40
0.51660001,98.5,69.699997,125144,3.6007292,1,45.599998
0.45410001,95.800003,44.099998,80584,6.7450495,3.9000001,52.799999
0.12819999,100,0,26953,48.275864,0,65.199997
0.39219999,97.400002,55.400002,111141,6.1433449,1.5,38.400002
0.4364,95.599998,43.900002,92610,4.9832025,1.9,45.099998
0.4578,98.900002,72.5,153847,3.9262064,0.2,42.700001
0.40079999,95.5,59,115432,4.21211,1.4,41.200001
0.4294,97.5,53.299999,100230,4.1627688,2,45.299999
0.3946,92,52.099998,139137,2.6199999,0.5,43.700001
0.4558,97.099998,63.099998,128563,5.2974148,2.5,43.299999
0.42910001,94.699997,46.799999,87516,4.7890134,2.9000001,40.599998
0.42789999,96.800003,54.900002,114766,5.4543571,0.89999998,47.099998
0.46439999,97.900002,74.099998,133229,4.8332672,0.5,43.099998
0.3563,83,25.4,115333,10.194175,1.3,39.900002
0.40810001,90.699997,36.700001,78343,6.3353658,2,43.5
0.43009999,94.099998,52.700001,105420,4.0378671,0.89999998,43
0.4585,97.5,70.5,146042,3.8906674,0.89999998,45
0.44710001,96.699997,49,107444,5.6809459,1.6,43.200001
0.51410002,96.300003,83.599998,126224,8.2101164,0.30000001,34
0.52929997,94,74.599998,129716,5.6042032,1.1,32.599998
0.64270002,100,84.699997,108438,1.0218978,3.5999999,54.299999
0.66890001,75.199997,54,39329,9.473175,3.4000001,33
0.44620001,95,77.300003,91212,1.3684571,1.4,29.9
0.53960001,95.900002,81.5,89452,3.916333,2.4000001,32.099998
0.60549998,88,64.099998,38759,12.3822,3.9000001,22
0.5923,92.699997,76.5,103422,4.9038968,2.5,34.599998
0.59140003,85.199997,58.299999,70575,6.5251036,2.7,33.5
0.54220003,75.699997,25.200001,30663,11.212525,5.3000002,33.900002
0.54640001,84.699997,41.099998,32243,14.861257,2.7,24.1
0.54790002,76.900002,15.4,27964,14.118164,5.4000001,32.799999
0.4558,79.199997,25.200001,56024,10.319054,5,34
0.49590001,81.800003,24.4,50227,9.2848692,4,33.900002
0.50510001,81,34.599998,53382,9.2488956,5.9000001,32.400002
0.46950001,83.400002,16.6,50039,9.6838436,4.4000001,37.099998
0.47009999,90.900002,61.799999,91597,4.7989011,2.4000001,31.200001
0.4648,68.599998,22.799999,52154,6.5185452,7.9000001,33.799999
0.5248,90.099998,63.5,103834,3.9067154,1,35.299999
0.48120001,92.199997,65,84847,4.6928015,2.7,34.799999
0.45570001,90.5,43.200001,72127,5.0716419,3.4000001,37.799999
0.43079999,92.5,53.400002,93343,4.923769,1.7,44.400002
0.50150001,90.199997,64.800003,49938,5.0783491,5.0999999,27
0.4781,91.800003,65.5,61566,4.8133559,4,29.6
0.44819999,87.099998,28.299999,64877,8.3770199,2.9000001,39.099998
0.54610002,97.599998,84.900002,87671,4.7325878,2.4000001,28.200001
0.4745,94.400002,76.5,91250,4.2805786,2.3,29.700001
0.51029998,93.800003,68.800003,91596,6.2782364,2.8,34.299999
0.49000001,89.300003,66.300003,77261,6.783639,1.5,32.200001
0.54070002,99.699997,91.800003,120729,6.834734,1.9,31.700001
0.40920001,92.800003,70.400002,90285,3.5601184,3,31.5
0.41679999,94.099998,71.599998,102033,3.8256946,2.9000001,31.299999
0.42829999,84.099998,40.400002,68553,6.9192553,5.0999999,33.900002
0.45410001,86.5,35.299999,62283,6.0018945,5,35.299999
0.43520001,79.800003,19.5,57143,7.1729956,7.0999999,35.200001
0.4447,69.800003,17.4,51875,5.4629149,7.0999999,33.200001
0.4447,81.900002,19.9,53771,6.5321522,5.5,39
0.46090001,94.400002,35.900002,69928,5.0599451,2.3,43.799999
0.4501,92.300003,49.599998,86459,4.7557731,3.0999999,34.700001
0.42179999,100,97.699997,64000,7.3600001,3.2,27.5
0.4391,90.099998,42.900002,67028,6.5346417,3.8,38.299999
0.42829999,85.900002,42.299999,82159,5.7937427,3.9000001,40.200001
